Date,Open,High,Low,Close,Adj Close,Volume
2021-10-15,227.220001,231.089996,226.729996,230.990005,227.533279,6355100
2021-10-18,230.179993,232.759995,228.139999,230.649994,227.198364,5580200
2021-10-19,231.949997,233.639999,230.679993,233.520004,230.025436,4409700
2021-10-20,233.460007,233.800003,231.309998,231.419998,227.956848,5401800
2021-10-21,230.699997,230.830002,226.300003,230.240005,226.794510,5982200
2021-10-22,230.289993,232.820007,228.710007,231.229996,227.769684,3788000
2021-10-25,233.449997,234.860001,232.289993,233.880005,230.380035,4938700
2021-10-26,235.529999,236.960007,231.330002,231.820007,228.350861,7814500
2021-10-27,224.750000,224.750000,215.660004,215.779999,212.550873,22958100
2021-10-28,219.250000,219.990005,209.009995,209.839996,206.699783,23199400
2021-10-29,209.210007,213.669998,208.539993,211.770004,208.600891,14329800
2021-11-01,213.490005,215.250000,211.449997,212.460007,209.280579,13210300
2021-11-02,213.160004,213.350006,207.820007,209.139999,206.010254,14688700
2021-11-03,209.690002,210.149994,206.729996,208.100006,204.985840,11486700
2021-11-04,209.160004,212.360001,207.869995,208.779999,205.655640,11368200
2021-11-05,211.949997,217.630005,211.360001,216.669998,213.427567,14273600
2021-11-08,218.369995,221.610001,218.149994,220.490005,217.190430,13500100
2021-11-09,219.690002,220.410004,212.919998,213.389999,210.196671,11535000
2021-11-10,213.550003,216.949997,213.330002,215.559998,212.708008,10063600
2021-11-11,216.470001,216.779999,210.160004,210.419998,207.635986,13546900
2021-11-12,211.500000,213.580002,211.429993,212.089996,209.283905,7660500
2021-11-15,213.619995,216.399994,211.809998,212.300003,209.491119,9596900
2021-11-16,212.160004,215.649994,211.660004,215.179993,212.333023,8719600
2021-11-17,205.949997,207.309998,199.460007,205.059998,202.346909,38379600
2021-11-18,206.500000,207.869995,201.270004,203.330002,200.639786,18292200
2021-11-19,202.039993,203.500000,199.850006,200.860001,198.202484,18032600
2021-11-22,200.000000,201.699997,194.600006,195.580002,192.992340,21185800
2021-11-23,196.970001,198.919998,194.380005,198.490005,195.863846,14742700
2021-11-24,198.169998,203.949997,197.639999,203.250000,200.560852,12026800
2021-11-26,193.320007,199.190002,192.550003,197.649994,195.034943,10987600
2021-11-29,201.000000,201.250000,195.360001,196.289993,193.692932,14633500
2021-11-30,195.270004,197.660004,192.559998,193.770004,191.206284,16023000
2021-12-01,196.029999,196.809998,190.100006,190.160004,187.644058,13204900
2021-12-02,192.000000,199.440002,191.850006,198.289993,195.666489,13976300
2021-12-03,198.270004,198.470001,194.039993,196.320007,193.722549,10660500
2021-12-06,198.770004,204.220001,197.740005,202.679993,199.998383,10722100
2021-12-07,206.000000,207.940002,205.889999,207.369995,204.626358,11897200
2021-12-08,207.660004,209.479996,205.710007,208.990005,206.224915,11749200
2021-12-09,208.520004,212.199997,207.169998,211.389999,208.593170,10176800
2021-12-10,211.899994,214.250000,210.860001,213.399994,210.576569,8882700
2021-12-13,212.449997,213.320007,209.979996,211.020004,208.228058,8844300
2021-12-14,210.729996,213.369995,208.449997,209.979996,207.201797,9832300
2021-12-15,209.399994,212.490005,207.860001,212.309998,209.501007,10892500
2021-12-16,215.289993,216.270004,211.610001,214.369995,211.533737,8548400
2021-12-17,212.800003,213.210007,207.789993,211.880005,209.076660,11578400
2021-12-20,209.089996,209.770004,206.860001,208.740005,205.978210,9434400
2021-12-21,210.610001,216.160004,210.360001,215.380005,212.530396,6993700
2021-12-22,213.850006,218.940002,213.850006,217.960007,215.076248,6003400
2021-12-23,218.440002,218.520004,216.619995,216.619995,213.753952,4798200
2021-12-27,217.679993,218.119995,214.880005,217.630005,214.750595,4818400
2021-12-28,216.009995,219.729996,215.580002,218.050003,215.165054,4279800
2021-12-29,217.759995,218.940002,217.330002,218.169998,215.283447,3223100
2021-12-30,217.970001,219.149994,217.149994,217.869995,214.987411,3812800
2021-12-31,216.809998,217.979996,215.490005,216.710007,213.842773,4723300
2022-01-03,217.520004,222.059998,217.009995,221.429993,218.500305,7694500
2022-01-04,222.000000,226.789993,221.809998,222.460007,219.516708,10629300
2022-01-05,222.639999,225.270004,219.919998,220.000000,217.089233,9594600
2022-01-06,217.800003,221.910004,217.550003,219.750000,216.842529,7877500
2022-01-07,217.309998,220.199997,215.639999,216.960007,214.089462,10702100
2022-01-10,213.979996,214.199997,206.500000,211.970001,209.165482,11978600
2022-01-11,211.419998,214.949997,208.740005,214.380005,211.543610,8803100
2022-01-12,214.479996,217.580002,213.809998,215.710007,212.856033,6923300
2022-01-13,216.850006,220.479996,214.660004,215.000000,212.155380,8867700
2022-01-14,214.169998,218.250000,213.710007,214.669998,211.829758,8838100
2022-01-18,215.880005,216.910004,214.330002,215.710007,212.856033,9099300
2022-01-19,213.000000,218.229996,212.110001,214.679993,211.839630,9399800
2022-01-20,214.720001,219.600006,213.940002,214.350006,211.513992,8532700
2022-01-21,215.460007,215.600006,205.820007,205.929993,203.205368,16200200
2022-01-24,202.179993,202.720001,195.649994,201.850006,199.179382,16054000
2022-01-25,199.619995,205.380005,196.990005,202.000000,199.327408,12125500
2022-01-26,204.279999,210.860001,203.669998,205.869995,203.146194,10817600
2022-01-27,209.500000,210.960007,205.850006,206.149994,203.422470,12009800
2022-01-28,220.639999,228.119995,216.100006,228.000000,224.983383,26425300
2022-01-31,225.550003,226.380005,222.050003,226.169998,223.177612,12380600
2022-02-01,226.899994,234.610001,226.419998,232.360001,229.285721,12247200
2022-02-02,231.300003,235.850006,230.009995,235.419998,232.305222,10590500
2022-02-03,233.039993,233.490005,230.550003,231.539993,228.476563,9968000
2022-02-04,228.500000,230.220001,224.949997,228.389999,225.368225,10848100
2022-02-07,228.000000,229.919998,226.009995,227.160004,224.154495,5984500
2022-02-08,226.259995,228.500000,224.750000,227.940002,224.924194,7542000
2022-02-09,230.130005,233.149994,230.119995,230.869995,227.815430,7772800
2022-02-10,228.029999,229.949997,224.869995,225.589996,222.967453,6794600
2022-02-11,227.250000,229.100006,223.539993,224.690002,222.077911,7535200
2022-02-14,223.289993,227.259995,222.809998,225.339996,222.720337,8280800
2022-02-15,227.270004,229.289993,224.910004,227.820007,225.171539,9461700
2022-02-16,227.500000,229.880005,225.600006,228.820007,226.159912,9561300
2022-02-17,228.399994,228.809998,224.169998,224.610001,221.998840,8131200
2022-02-18,224.600006,225.740005,221.839996,222.690002,220.101166,8121200
2022-02-22,221.020004,224.339996,219.919998,221.320007,218.747086,9928800
2022-02-23,222.839996,224.279999,215.419998,215.949997,213.439529,8669900
2022-02-24,203.369995,217.860001,201.449997,217.300003,214.773819,13463400
2022-02-25,217.289993,220.679993,214.250000,219.270004,216.720901,8463600
2022-02-28,216.000000,218.649994,213.240005,216.119995,213.607544,8409400
2022-03-01,214.479996,215.149994,207.279999,208.970001,206.540680,9317800
2022-03-02,206.899994,210.539993,206.190002,208.479996,206.056351,8865700
2022-03-03,210.550003,211.500000,206.559998,207.229996,204.820892,8610000
2022-03-04,205.000000,206.369995,196.860001,200.289993,197.961548,10912300
2022-03-07,199.839996,200.179993,190.050003,190.699997,188.483047,13412400
2022-03-08,190.009995,196.419998,186.669998,191.710007,189.481308,11070900
2022-03-09,196.500000,200.500000,195.240005,199.759995,197.437744,8457600
2022-03-10,196.899994,199.940002,196.300003,197.970001,195.668518,7061600
2022-03-11,200.750000,200.839996,196.460007,196.710007,194.423203,5432100
2022-03-14,198.419998,204.429993,198.160004,200.330002,198.001114,7994700
2022-03-15,202.089996,206.410004,201.399994,206.139999,203.743561,8277700
2022-03-16,210.000000,213.669998,207.000000,211.869995,209.406967,9232300
2022-03-17,209.929993,213.539993,208.720001,213.449997,210.968582,6668500
2022-03-18,211.699997,219.259995,210.289993,219.110001,216.562790,14620800
2022-03-21,216.339996,218.059998,214.550003,217.039993,214.516830,6101500
2022-03-22,217.839996,219.570007,217.179993,218.470001,215.930237,6259900
2022-03-23,215.300003,217.289993,214.199997,214.679993,212.184250,6008000
2022-03-24,214.990005,217.660004,214.000000,217.309998,214.783707,5487000
2022-03-25,218.419998,218.929993,215.690002,218.429993,215.890686,5051400
2022-03-28,218.500000,220.979996,217.509995,220.770004,218.203476,4316800
2022-03-29,224.839996,228.809998,223.779999,228.119995,225.468018,8032500
2022-03-30,225.839996,226.160004,222.729996,223.949997,221.346497,7084000
2022-03-31,223.910004,225.919998,220.440002,221.770004,219.191864,10759500
2022-04-01,223.080002,226.630005,222.229996,226.360001,223.728500,6559600
2022-04-04,225.759995,229.240005,224.960007,227.740005,225.092453,8521200
2022-04-05,226.830002,228.990005,225.309998,226.089996,223.461639,4658000
2022-04-06,222.779999,222.869995,218.619995,219.009995,216.463928,7430000
2022-04-07,218.309998,218.679993,213.679993,216.149994,213.637177,6995100
2022-04-08,214.809998,219.410004,213.080002,216.979996,214.457535,5438600
2022-04-11,215.250000,217.300003,213.410004,214.750000,212.253464,6942700
2022-04-12,216.500000,216.990005,210.699997,211.399994,208.942413,7446600
2022-04-13,210.429993,213.850006,207.169998,213.270004,210.790665,8052900
2022-04-14,214.270004,215.949997,212.529999,212.789993,210.316254,8191600
2022-04-18,211.669998,215.830002,211.520004,213.169998,210.691818,4744400
2022-04-19,213.100006,216.509995,212.440002,215.699997,213.192413,5028800
2022-04-20,218.660004,220.820007,217.389999,217.789993,215.258118,7178300
2022-04-21,219.509995,223.919998,215.350006,216.449997,213.933685,8850300
2022-04-22,216.240005,216.559998,207.949997,208.169998,205.749954,6201100
2022-04-25,206.350006,210.529999,205.330002,209.949997,207.509277,6839400
2022-04-26,206.979996,208.559998,201.100006,201.100006,198.762161,8155300
2022-04-27,217.369995,221.800003,213.050003,214.110001,211.620911,15955800
2022-04-28,220.399994,224.929993,219.270004,220.660004,218.094742,10799100
2022-04-29,218.619995,221.199997,212.350006,213.130005,210.652283,7965000
2022-05-02,211.770004,212.139999,206.960007,211.529999,209.070908,8803700
2022-05-03,213.610001,213.610001,206.270004,208.559998,206.135437,6616900
2022-05-04,209.350006,214.800003,205.330002,214.520004,212.026154,7191100
2022-05-05,212.270004,214.580002,203.070007,205.240005,202.854019,7749600
2022-05-06,203.750000,205.720001,200.220001,202.820007,200.462158,8825300
2022-05-09,200.050003,200.750000,192.080002,193.000000,190.756317,10314100
2022-05-10,196.710007,197.750000,190.970001,193.580002,191.329575,11016500
2022-05-11,193.490005,198.320007,191.399994,196.720001,194.433044,9427300
2022-05-12,194.529999,196.059998,189.949997,193.970001,192.081192,9308600
2022-05-13,197.000000,200.539993,196.500000,199.229996,197.289963,6684500
2022-05-16,197.320007,199.940002,195.880005,197.809998,195.883804,5161300
2022-05-17,202.850006,204.800003,200.149994,204.000000,202.013535,7265600
2022-05-18,202.820007,205.460007,199.130005,199.990005,198.042572,8748200
2022-05-19,196.350006,200.419998,193.309998,197.369995,195.448090,9012400
2022-05-20,199.669998,201.660004,194.020004,199.029999,197.091919,6966600
2022-05-23,200.880005,207.960007,200.770004,207.559998,205.538864,12187400
2022-05-24,203.910004,204.669998,199.029999,202.630005,200.656860,7458500
2022-05-25,200.589996,204.949997,200.470001,203.839996,201.855072,5457200
2022-05-26,205.110001,209.740005,204.669998,208.550003,206.519226,9212300
2022-05-27,210.000000,213.229996,209.639999,212.880005,210.807053,4897200
2022-05-31,210.380005,214.350006,209.110001,212.169998,210.103973,9586400
2022-06-01,212.050003,214.110001,208.820007,209.929993,207.885773,5246100
2022-06-02,211.889999,215.250000,211.080002,215.050003,212.955917,5337200
2022-06-03,212.949997,214.210007,211.270004,212.649994,210.579285,4352500
2022-06-06,215.449997,217.580002,212.089996,212.940002,210.866470,3965100
2022-06-07,211.119995,214.970001,210.720001,214.500000,212.411270,4493300
2022-06-08,213.759995,215.570007,212.830002,213.500000,211.421021,3646300
2022-06-09,212.589996,213.710007,206.020004,206.110001,204.102997,5138600
2022-06-10,201.649994,203.419998,199.179993,199.509995,197.567245,5162500
2022-06-13,192.990005,195.889999,191.080002,192.259995,190.387848,7119200
2022-06-14,192.720001,194.339996,191.750000,193.520004,191.635590,6441200
2022-06-15,195.979996,198.830002,192.229996,196.160004,194.249893,6490000
2022-06-16,191.410004,191.869995,187.529999,189.050003,187.209106,9887200
2022-06-17,186.929993,191.309998,185.910004,190.009995,188.159744,15089300
2022-06-21,195.710007,196.729996,193.729996,194.389999,192.497131,6241600
2022-06-22,191.250000,196.389999,191.029999,193.820007,191.932648,5138500
2022-06-23,196.139999,197.460007,193.449997,196.639999,194.725204,4752800
2022-06-24,197.729996,205.639999,197.509995,205.509995,203.508820,7754800
2022-06-27,205.750000,207.089996,202.610001,203.559998,201.577820,6121200
2022-06-28,204.000000,206.789993,197.500000,198.119995,196.190781,4354200
2022-06-29,197.320007,200.639999,197.320007,199.500000,197.557358,4324600
2022-06-30,195.369995,198.850006,192.850006,196.889999,194.972763,7045200
2022-07-01,196.789993,199.800003,194.710007,199.179993,197.240463,4131800
2022-07-05,196.229996,200.570007,194.139999,200.539993,198.587204,4110200
2022-07-06,200.000000,202.509995,198.669998,201.119995,199.161560,4111200
2022-07-07,202.539993,203.429993,200.039993,202.800003,200.825226,4650700
2022-07-08,202.320007,204.100006,200.460007,203.570007,201.587723,3621800
2022-07-11,202.000000,206.740005,202.000000,205.059998,203.063187,5353600
2022-07-12,203.250000,208.119995,202.759995,204.820007,202.825546,6779500
2022-07-13,200.429993,205.570007,199.500000,204.149994,202.162079,7597300
2022-07-14,200.000000,206.080002,197.979996,205.910004,203.904938,5605500
2022-07-15,209.369995,211.710007,207.179993,210.039993,207.994705,7245700
2022-07-18,211.500000,212.910004,206.639999,207.210007,205.192276,4648900
2022-07-19,208.220001,214.110001,207.899994,213.660004,211.579453,4927100
2022-07-20,212.000000,214.130005,211.210007,213.369995,211.292282,4460300
2022-07-21,213.149994,216.899994,212.729996,216.190002,214.084824,4801300
2022-07-22,217.929993,218.070007,212.119995,213.699997,211.619064,5071500
2022-07-25,214.580002,214.800003,211.619995,214.270004,212.183533,4357200
2022-07-26,213.850006,215.149994,211.750000,212.490005,210.420868,6141000
2022-07-27,210.770004,216.850006,201.199997,210.470001,208.420517,17432200
2022-07-28,210.639999,212.720001,207.919998,211.350006,209.291962,7477100
2022-07-29,212.000000,214.160004,209.830002,212.110001,210.044556,6059700
2022-08-01,208.449997,213.990005,207.559998,211.360001,209.301865,8028400
2022-08-02,207.800003,208.839996,203.929993,206.259995,204.251511,9939400
2022-08-03,207.990005,210.330002,206.880005,208.479996,206.449890,9520100
2022-08-04,210.529999,214.880005,208.550003,213.470001,211.391312,6789700
2022-08-05,210.710007,215.949997,210.500000,215.869995,213.767929,5553700
2022-08-08,215.229996,216.630005,212.050003,213.320007,211.242783,4063400
2022-08-09,212.000000,213.449997,209.750000,210.259995,208.212570,4596800
2022-08-10,214.830002,214.839996,211.309998,212.100006,210.034637,5746400
2022-08-11,213.289993,213.500000,210.589996,211.080002,209.394791,6639600
2022-08-12,213.000000,213.220001,210.100006,211.330002,209.642822,6443700
2022-08-15,210.369995,216.740005,210.369995,216.419998,214.692169,5290600
2022-08-16,214.550003,217.610001,212.130005,217.139999,215.406418,6564400
2022-08-17,215.000000,216.179993,212.750000,214.520004,212.807373,4902500
2022-08-18,213.869995,216.000000,212.429993,215.250000,213.531509,4516400
2022-08-19,214.110001,215.229996,212.389999,212.820007,211.120911,4178800
2022-08-22,209.940002,211.250000,208.199997,208.610001,206.944519,5139500
2022-08-23,208.000000,209.300003,206.529999,206.800003,205.148972,3525500
2022-08-24,206.630005,208.350006,205.679993,206.669998,205.020004,4230800
2022-08-25,207.389999,209.910004,206.500000,209.820007,208.144867,4495000
2022-08-26,209.770004,210.259995,202.699997,202.889999,201.270172,5060200
2022-08-29,201.250000,203.960007,200.619995,202.330002,200.714676,4476200
